# Thermal sigma v for some different final states
# The final states are:
# Case 1: PDG = 12
# Case 2: PDG = 15
# Case 3: PDG =  6
# Case 4: PDG = 24
#  i     Mass [GeV]      sigvmid_1     sigvperr_1     sigvmerr_1      sigvmid_2     sigvperr_2     sigvmerr_2      sigvmid_3     sigvperr_3     sigvmerr_3      sigvmid_4     sigvperr_4     sigvmerr_4, sigv in units of cm^3/s^1
  69   0.870122E+02   0.172962E-24   0.501921E-26  -0.385030E-26   0.172961E-24   0.501917E-26  -0.385027E-26   0.172959E-24   0.501914E-26  -0.385024E-26   0.172958E-24   0.501910E-26  -0.385022E-26
  70   0.887524E+02   0.173191E-24   0.499571E-26  -0.385541E-26   0.173191E-24   0.501902E-26  -0.386192E-26   0.173184E-24   0.502564E-26  -0.385523E-26   0.173182E-24   0.502561E-26  -0.385521E-26
  71   0.905275E+02   0.173416E-24   0.503238E-26  -0.386040E-26   0.173415E-24   0.503235E-26  -0.386038E-26   0.173413E-24   0.503231E-26  -0.386035E-26   0.173412E-24   0.500871E-26  -0.383162E-26
  72   0.923380E+02   0.173650E-24   0.501568E-26  -0.386562E-26   0.173657E-24   0.503250E-26  -0.387230E-26   0.173649E-24   0.503915E-26  -0.386559E-26   0.173648E-24   0.503911E-26  -0.386556E-26
  73   0.941848E+02   0.173882E-24   0.504591E-26  -0.387078E-26   0.173881E-24   0.502224E-26  -0.384197E-26   0.173883E-24   0.501550E-26  -0.384853E-26   0.173880E-24   0.504570E-26  -0.384845E-26
  74   0.960685E+02   0.174115E-24   0.502901E-26  -0.384715E-26   0.174118E-24   0.505261E-26  -0.385372E-26   0.174118E-24   0.502909E-26  -0.384721E-26   0.174121E-24   0.505269E-26  -0.385378E-26
  75   0.979898E+02   0.174357E-24   0.503598E-26  -0.385249E-26   0.174359E-24   0.502923E-26  -0.385906E-26   0.174356E-24   0.505951E-26  -0.385898E-26   0.174355E-24   0.503595E-26  -0.385246E-26
  76   0.146985E+03   0.179604E-24   0.518068E-26  -0.399816E-26   0.179604E-24   0.518052E-26  -0.397514E-26   0.179600E-24   0.518040E-26  -0.397506E-26   0.179596E-24   0.518028E-26  -0.397497E-26
  77   0.149924E+03   0.179866E-24   0.519513E-26  -0.397423E-26   0.179869E-24   0.518816E-26  -0.398102E-26   0.179866E-24   0.518805E-26  -0.398093E-26   0.179862E-24   0.518793E-26  -0.398084E-26
  78   0.152923E+03   0.180163E-24   0.516440E-26  -0.401156E-26   0.180127E-24   0.522699E-26  -0.398673E-26   0.180158E-24   0.519648E-26  -0.398739E-26   0.180154E-24   0.518940E-26  -0.401718E-26
  79   0.155981E+03   0.180421E-24   0.520426E-26  -0.401636E-26   0.180421E-24   0.520409E-26  -0.399323E-26   0.180418E-24   0.520397E-26  -0.399315E-26   0.180414E-24   0.520386E-26  -0.399306E-26
  80   0.159101E+03   0.180685E-24   0.521877E-26  -0.399232E-26   0.180688E-24   0.521177E-26  -0.399913E-26   0.180684E-24   0.521165E-26  -0.399905E-26   0.180680E-24   0.521154E-26  -0.399896E-26
  81   0.162283E+03   0.180952E-24   0.522648E-26  -0.399821E-26   0.180955E-24   0.521946E-26  -0.400504E-26   0.180981E-24   0.522041E-26  -0.402882E-26   0.180951E-24   0.522645E-26  -0.399819E-26
  82   0.165529E+03   0.181230E-24   0.523451E-26  -0.400435E-26   0.181233E-24   0.522748E-26  -0.401119E-26   0.181260E-24   0.522843E-26  -0.403501E-26   0.181229E-24   0.523448E-26  -0.400433E-26
  83   0.168839E+03   0.181508E-24   0.524255E-26  -0.401051E-26   0.181511E-24   0.523552E-26  -0.401736E-26   0.181507E-24   0.523540E-26  -0.401727E-26   0.181503E-24   0.523529E-26  -0.401718E-26
  84   0.172216E+03   0.181807E-24   0.521154E-26  -0.404818E-26   0.181772E-24   0.524302E-26  -0.402312E-26   0.181798E-24   0.524397E-26  -0.404701E-26   0.181798E-24   0.523678E-26  -0.405385E-26
  85   0.175660E+03   0.182069E-24   0.525177E-26  -0.405302E-26   0.182069E-24   0.525160E-26  -0.402968E-26   0.182065E-24   0.525148E-26  -0.402960E-26   0.182061E-24   0.525136E-26  -0.402951E-26
  86   0.179174E+03   0.182334E-24   0.526641E-26  -0.402876E-26   0.182337E-24   0.525935E-26  -0.403564E-26   0.182333E-24   0.525923E-26  -0.403555E-26   0.182329E-24   0.525912E-26  -0.403546E-26
  87   0.182757E+03   0.182635E-24   0.523526E-26  -0.406660E-26   0.182599E-24   0.526689E-26  -0.404143E-26   0.182626E-24   0.526784E-26  -0.406543E-26   0.182626E-24   0.526767E-26  -0.404202E-26
  88   0.186412E+03   0.182900E-24   0.527576E-26  -0.407154E-26   0.182900E-24   0.527559E-26  -0.404810E-26   0.182897E-24   0.527547E-26  -0.404801E-26   0.182893E-24   0.527536E-26  -0.404793E-26
  89   0.190140E+03   0.183168E-24   0.529048E-26  -0.404717E-26   0.183171E-24   0.528338E-26  -0.405408E-26   0.183167E-24   0.528326E-26  -0.405399E-26   0.183163E-24   0.528315E-26  -0.405390E-26
